gbifid,anio,mes,taxonrank,scientificname,decimallatitude,decimallongitude,eventdate,individualcount,locality,stateprovince,issue,comunidad_autonoma,nombre_cientifico
3447283369,2021.0,4.0,species,"Globicephala melas (Traill, 1809)",43.666742,-2.113599,,,desconocido,desconocido,country_derived_from_coordinates,no asignado,Globicephala melas
3447282841,2021.0,7.0,species,"Tursiops truncatus (Montagu, 1821)",42.59774,3.572361,,,desconocido,desconocido,country_derived_from_coordinates,no asignado,Tursiops truncatus
3447282834,2021.0,6.0,species,"Stenella coeruleoalba (Meyen, 1833)",40.969363,3.999731,,,desconocido,desconocido,country_derived_from_coordinates,no asignado,Stenella coeruleoalba
3447282420,2021.0,7.0,family,Balaenopteridae,41.793637,4.622291,,,desconocido,desconocido,country_derived_from_coordinates,no asignado,
3447281928,2021.0,7.0,species,"Balaenoptera physalus (Linnaeus, 1758)",41.672259,4.573506,,,desconocido,desconocido,country_derived_from_coordinates,no asignado,Balaenoptera physalus
3416093362,2021.0,10.0,species,"Globicephala macrorhynchus Gray, 1846",28.049151,-16.749659,,,desconocido,islas canarias,coordinate_rounded;continent_derived_from_coordinates;taxon_match_taxon_id_ignored,canarias,Globicephala macrorhynchus
3415914677,2013.0,8.0,species,"Tursiops truncatus (Montagu, 1821)",42.302679,3.349055,,,desconocido,cataluña,coordinate_rounded;continent_derived_from_coordinates;taxon_match_taxon_id_ignored,cataluña,Tursiops truncatus
3415814282,2021.0,10.0,species,"Stenella frontalis (G.Cuvier, 1829)",28.071084,-16.740917,,,desconocido,islas canarias,coordinate_rounded;continent_derived_from_coordinates;taxon_match_taxon_id_ignored,canarias,Stenella frontalis
3415675216,2015.0,2.0,species,"Grampus griseus (G.Cuvier, 1812)",42.263174,3.178187,,,desconocido,cataluña,coordinate_rounded;continent_derived_from_coordinates;taxon_match_taxon_id_ignored,cataluña,Grampus griseus
3415389815,2021.0,8.0,species,"Balaenoptera acutorostrata Lacépède, 1804",42.503638,-9.168216,,,desconocido,galicia,coordinate_rounded;taxon_match_taxon_id_ignored,galicia,Balaenoptera acutorostrata
3412789916,2001.0,2.0,species,"Delphinus delphis Linnaeus, 1758",43.45,-2.75,,,desconocido,bizkaia,geodetic_datum_invalid;geodetic_datum_assumed_wgs84;continent_derived_from_coordinates,país vasco,Delphinus delphis
